name,skilltype,role,Basic,Bonus,static1,static2,static3,dynamic1,dynamic2,dynamic3,Static1,Static2,Static3,Dynamic1,Dynamic2,Dynamic3,probability,duration,cooltime,coolshare,effect
AE36 붕괴,active,atk,"마도서 공격력의 200% 위력으로 스킬 공격하고, 8초간 1초마다 마도서 공격력의 16% 위력으로 고정 피해를 준다.","마도서 공격력의 260% 위력으로 스킬 공격하고, 8초간 1초마다 마도서 공격력의 19% 위력으로 고정 피해를 준다.",2,0.16,0,,,,2.6,0.19,0,,,,0,8,8,,ski/dot
"Hello, world!",passive,atk,"기본 공격 시 12.5% 확률로 14초간 자신의 스킬 공격력을 ,1,% 증가시킨다.",기본 공격 시 16% 확률로 14초간 자신의 스킬 공격력을 `1`% 증가시킨다.,3.01,0,0,0.0171,,,3.22,0,0,lea,,,0.16,14,18,1,stk
KANG-TA!,active,atk,마도서 공격력의 311% 위력으로 스킬 공격한다.,마도서 공격력의 374% 위력으로 스킬 공격한다.,3.11,0,0,,,,3.74,0,0,,,,0,,8,,ski
갈취 III,active,atk,"덱 공격력의 ,1,% 위력으로 일반 공격하고, 피해량의 6%만큼 체력을 회복한다.","덱 공격력의 `1`% 위력으로 일반 공격하고, 피해량의 6%만큼 체력을 회복한다.",0.08,0.06,0,0.00085,,,0.11,0.06,0,lea,,,0,,10,,Nor/dra
갈취 IV,active,atk,"덱 공격력의 ,1,% 위력으로 일반 공격하고, 피해량의 6%만큼 체력을 회복한다.","덱 공격력의 `1`% 위력으로 일반 공격하고, 피해량의 6%만큼 체력을 회복한다.",0.1,0.06,0,0.00085,,,0.135,0.06,0,lea,,,0,,10,,Nor/dra
갈취 V,active,atk,"덱 공격력의 ,1,% 위력으로 일반 공격하고, 피해량의 6%만큼 체력을 회복한다.","덱 공격력의 `1`% 위력으로 일반 공격하고, 피해량의 6%만큼 체력을 회복한다.",0.12,0.06,0,0.00085,,,0.16,0.06,0,lea,,,0,,10,,Nor/dra
갈취 VI,active,atk,"덱 공격력의 ,1,% 위력으로 일반 공격하고, 피해량의 6%만큼 체력을 회복한다.","덱 공격력의 `1`% 위력으로 일반 공격하고, 피해량의 6%만큼 체력을 회복한다.",0.125,0.06,0,0.00085,,,0.165,0.06,0,lea,,,0,,10,,Nor/dra
강타 I,active,atk,마도서 공격력의 225% 위력으로 스킬 공격한다.,마도서 공격력의 266% 위력으로 스킬 공격한다.,2.25,0,0,,,,2.66,0,0,,,,0,,8,,ski
강타 II,active,atk,마도서 공격력의 247.5% 위력으로 스킬 공격한다.,마도서 공격력의 292% 위력으로 스킬 공격한다.,2.475,0,0,,,,2.92,0,0,,,,0,,8,,ski
강타 III,active,atk,마도서 공격력의 270% 위력으로 스킬 공격한다.,마도서 공격력의 318% 위력으로 스킬 공격한다.,2.7,0,0,,,,3.18,0,0,,,,0,,8,,ski
강타 IV,active,atk,마도서 공격력의 292.5% 위력으로 스킬 공격한다.,마도서 공격력의 344% 위력으로 스킬 공격한다.,2.925,0,0,,,,3.44,0,0,,,,0,,8,,ski
강타 V,active,atk,마도서 공격력의 315% 위력으로 스킬 공격한다.,마도서 공격력의 370% 위력으로 스킬 공격한다.,3.15,0,0,,,,3.7,0,0,,,,0,,8,,ski
강타 VI,active,atk,마도서 공격력의 337.5% 위력으로 스킬 공격한다.,마도서 공격력의 396% 위력으로 스킬 공격한다.,3.375,0,0,,,,3.96,0,0,,,,0,,8,,ski
격노 I,passive,atk,"자신의 모든 마도서 공격력을 ,1,% 증가시킨다.",자신의 모든 마도서 공격력을 `1`% 증가시킨다.,0.056,0,0,0.002153,,,0.09,0,0,lea,,,0,,,,atk
격노 II,passive,atk,"자신의 모든 마도서 공격력을 ,1,% 증가시킨다.",자신의 모든 마도서 공격력을 `1`% 증가시킨다.,0.072,0,0,0.002153,,,0.108,0,0,lea,,,0,,,,atk
격노 III,passive,atk,"자신의 모든 마도서 공격력을 ,1,% 증가시킨다.",자신의 모든 마도서 공격력을 `1`% 증가시킨다.,0.088,0,0,0.002153,,,0.12,0,0,lea,,,0,,,,atk
격노 IV,passive,atk,"자신의 모든 마도서 공격력을 ,1,% 증가시킨다.",자신의 모든 마도서 공격력을 `1`% 증가시킨다.,0.104,0,0,0.002153,,,0.132,0,0,lea,,,0,,,,atk
격노 V,passive,atk,"자신의 모든 마도서 공격력을 ,1,% 증가시킨다.",자신의 모든 마도서 공격력을 `1`% 증가시킨다.,0.12,0,0,0.002153,,,0.15,0,0,lea,,,0,,,,atk
격노 VI,passive,atk,"자신의 모든 마도서 공격력을 ,1,% 증가시킨다.",자신의 모든 마도서 공격력을 `1`% 증가시킨다.,0.132,0,0,0.002153,,,0.162,0,0,lea,,,0,,,,atk
격앙 IV,passive,atk,"자신의 모든 일반 공격력을 ,1,% 증가시킨다.",자신의 모든 일반 공격력을 `1`% 증가시킨다.,0.139,0,0,0.002368,,,0.176,0,0,lea,,,0,,,,ntk
격앙 V,passive,atk,"자신의 모든 일반 공격력을 ,1,% 증가시킨다.",자신의 모든 일반 공격력을 `1`% 증가시킨다.,0.16,0,0,0.002368,,,0.2,0,0,lea,,,0,,,,ntk
격분 I,passive,atk,"모든 파티원의 모든 마도서 공격력을 ,1,% 증가시킨다.",모든 파티원의 모든 마도서 공격력을 `1`% 증가시킨다.,0.028,0,0,0.001105,,,0.045,0,0,lea,,,0,,,,Atk
격분 II,passive,atk,"모든 파티원의 모든 마도서 공격력을 ,1,% 증가시킨다.",모든 파티원의 모든 마도서 공격력을 `1`% 증가시킨다.,0.036,0,0,0.001105,,,0.054,0,0,lea,,,0,,,,Atk
격분 III,passive,atk,"모든 파티원의 모든 마도서 공격력을 ,1,% 증가시킨다.",모든 파티원의 모든 마도서 공격력을 `1`% 증가시킨다.,0.044,0,0,0.001105,,,0.06,0,0,lea,,,0,,,,Atk
격분 IV,passive,atk,"모든 파티원의 모든 마도서 공격력을 ,1,% 증가시킨다.",모든 파티원의 모든 마도서 공격력을 `1`% 증가시킨다.,0.052,0,0,0.001105,,,0.066,0,0,lea,,,0,,,,Atk
격분 V,passive,atk,"모든 파티원의 모든 마도서 공격력을 ,1,% 증가시킨다.",모든 파티원의 모든 마도서 공격력을 `1`% 증가시킨다.,0.06,0,0,0.001105,,,0.075,0,0,lea,,,0,,,,Atk
격정 IV,passive,atk,"스킬 사용 시 12.5% 확률로 10초간 자신의 일반 공격력을 ,1,% 증가시킨다.",스킬 사용 시 15% 확률로 10초간 자신의 일반 공격력을 `1`% 증가시킨다.,0.4,0,0,0.005025,,,0.8,0,0,lea,,,0.15,10,17,1,ntk
격정 V,passive,atk,"스킬 사용 시 12.5% 확률로 10초간 자신의 일반 공격력을 ,1,% 증가시킨다.",스킬 사용 시 15% 확률로 10초간 자신의 일반 공격력을 `1`% 증가시킨다.,0.45,0,0,0.005025,,,0.9,0,0,lea,,,0.15,10,17,1,ntk
고냥 V,active,atk,"해당 마도서의 공격력을 100% 증가시키고, 마도서 공격력의 50% 위력으로 일반 공격,  8초간 1초마다 6% 위력으로 고정 피해를 준다.","해당 마도서의 공격력을 100% 증가시키고, 마도서 공격력의 80% 위력으로 일반 공격,  8초간 1초마다 8% 위력으로 고정 피해를 준다.",1,0.5,0.06,,,,1,0.8,0.08,,,,0,8,9,,ntk/nor/dot
고양 III,active,atk,"해당 마도서의 공격력을 80% 증가시키고, 마도서 공격력의 50% 위력으로 일반 공격한다.","해당 마도서의 공격력을 80% 증가시키고, 마도서 공격력의 75% 위력으로 일반 공격한다",0.8,0.5,0,,,,0.8,0.75,0,,,,0,,9,,ntk/nor
고양 IV,active,atk,"해당 마도서의 공격력을 90% 증가시키고, 마도서 공격력의 60% 위력으로 일반 공격한다.","해당 마도서의 공격력을 90% 증가시키고, 마도서 공격력의 89% 위력으로 일반 공격한다",0.9,0.6,0,,,,0.9,0.89,0,,,,0,,9,,ntk/nor
